,original_dt,update_dt,agency,county,city,subject_list,subject_std,pty,worked_by,overall_stus,assignment_stus,assignee,jurisdictiont_tracking_num,state_tracking_num,emac_federal_ma_num
638,2020-03-13,2020-03-21,Seattle Indian Health Board,King,Seattle,rr 257,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 202031313880/KC­ 202031313880 WA­ 202031313880,WA­ 202031313880,
638,2020-03-13,2020-03-21,Seattle Indian Health Board,King,Seattle,"gloves, exam, medium, large",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 202031313880/KC­ 202031313880 WA­ 202031313880,WA­ 202031313880,
639,2020-03-09,2020-03-21,Virginia Mason Medical,King,Seattle,"mask, n95, small",Masks,Incident Stabilization,County,Assigned,Completed,Logistics Section,PH­2020398517 KC­2020398517,WA­ 2020398517,
639,2020-03-09,2020-03-21,Virginia Mason Medical,King,Seattle,"mask, n95, large",Masks,Incident Stabilization,County,Assigned,Completed,Logistics Section,PH­2020398517 KC­2020398517,WA­ 2020398517,
640,2020-03-17,2020-03-21,PHSKC,King,Seattle,"gloves, nitrile, large,",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,KC­202031711510,WA­ 202031711510,
640,2020-03-17,2020-03-21,PHSKC,King,Seattle,"gloves, nitrile, medium",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,KC­202031711510,WA­ 202031711510,
640,2020-03-17,2020-03-21,PHSKC,King,Seattle,ppe,PPE,Incident Stabilization,County,Assigned,Assigned,Logistics Section,KC­202031711510,WA­ 202031711510,
641,2020-03-03,2020-03-21,Skagit Regional Health,Skagit,Mount Vernon,n­95 masks,Masks,Incident Stabilization,County,Accepted,Completed,Logistics Section,2.02003E+11,WA­ 2020339475,
642,2020-03-17,2020-03-21,King County Correctional Facilities (KCCF),King,Seattle,"gown, disposable,",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­20203179567, RR 312 WA­20203179567",WA­ 20203179567,
642,2020-03-17,2020-03-21,King County Correctional Facilities (KCCF),King,Seattle,rr 312 (do not remove): ppe for king county correctional facilities,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,"PH­20203179567, RR 312 WA­20203179567",WA­ 20203179567,
643,2020-03-13,2020-03-21,Island House Senior Living,King,Mercer Island,masks n95,Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,MI­005 KC­202031316656,WA­ 202031316656,
643,2020-03-13,2020-03-21,Island House Senior Living,King,Mercer Island,"masks, surgical",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,MI­005 KC­202031316656,WA­ 202031316656,
644,2020-03-14,2020-03-21,Whatcom County Health Department,Whatcom,Ferndale,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Whatcom­00016 (London Health Center) WA­ 202031415525,WA­ 202031415525,
645,2020-03-10,2020-03-21,Thurston County Emergency Management,Thurston,Olympia,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,TH­ 202031011142 TH­ 202031011142,WA­ 202031011142,
645,2020-03-10,2020-03-21,Thurston County Emergency Management,Thurston,Olympia,"gown, disposable",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,TH­ 202031011142 TH­ 202031011142,WA­ 202031011142,
645,2020-03-10,2020-03-21,Thurston County Emergency Management,Thurston,Olympia,"shield, face",Face Shield,Incident Stabilization,County,Assigned,Assigned,Logistics Section,TH­ 202031011142 TH­ 202031011142,WA­ 202031011142,
646,2020-03-13,2020-03-21,Swedish Edmonds Medical,Snohomish,Edmonds,"gown, iso",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,ED013/SnoCo­ 202031313646 WA­ 202031313646,WA­ 202031313646,
647,2020-03-12,2020-03-21,SnoPUD,Snohomish,Everett,"sanitizer, hand",Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PO#4500059280 SnoCo­ 202031214523,WA­ 202031214523,
648,2020-03-09,2020-03-21,Thurston County Emergency Management,Thurston,Olympia,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,TC­2020399457 TC­2020399457,WA­ 20203910453,
648,2020-03-09,2020-03-21,Thurston County Emergency Management,Thurston,Olympia,"gown, disposable",Gowns,Incident Stabilization,County,Assigned,Assigned,Logistics Section,TC­2020399457 TC­2020399457,WA­ 20203910453,
648,2020-03-09,2020-03-21,Thurston County Emergency Management,Thurston,Olympia,"goggles, safety",Goggles/Glasses,Incident Stabilization,County,Assigned,Assigned,Logistics Section,TC­2020399457 TC­2020399457,WA­ 20203910453,
649,2020-03-12,2020-03-21,Northpoint Washington,Snohomish,Edmonds,"sanitizer, hand",Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031216111,WA­ 202031216111,
650,2020-03-12,2020-03-21,Snohomish County Facilities,Snohomish,Everett,"sanitizer, floor stand",Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,FAC010/SnoCo­ 202031215178 WA­ 202031215178,WA­ 202031215178,
651,2020-03-13,2020-03-21,Swedish Edmonds Medical,Snohomish,Edmonds,mask tb filter,Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,ED005/SNOCO ­ 202031313250 WA­ 202031313250,WA­ 202031313250,
652,2020-03-14,2020-03-21,SnoCo Sheriff's Office,Snohomish,Everett,hand santizer,,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Snoco­ 20203148838 WA­ 20203148838,WA­ 20203148838,
653,2020-03-16,2020-03-21,Thurston County Emergency Management,Thurston,Tumwater,"mask, n95, small",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,TH­ 202031613986 TH­ 202031613986,WA­ 202031613986,
653,2020-03-16,2020-03-21,Thurston County Emergency Management,Thurston,Tumwater,"mask, n95, mediuam",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,TH­ 202031613986 TH­ 202031613986,WA­ 202031613986,
653,2020-03-16,2020-03-21,Thurston County Emergency Management,Thurston,Tumwater,"mask, surgical",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,TH­ 202031613986 TH­ 202031613986,WA­ 202031613986,
653,2020-03-16,2020-03-21,Thurston County Emergency Management,Thurston,Tumwater,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,TH­ 202031613986 TH­ 202031613986,WA­ 202031613986,
654,2020-03-13,2020-03-21,Swedish Edmonds Medical,Snohomish,Edmonds,soap foam hand wash,Soap,Incident Stabilization,County,Assigned,Assigned,Logistics Section,ED003/SNOCO ­ 202031313510 WA­ 202031313510,WA­ 202031313510,
655,2020-03-13,2020-03-21,Swedish Edmonds Medical,Snohomish,Edmonds,"mask, surgical",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,ED011 SnoCo­ 202031313271,WA­ 202031313271,
656,2020-03-09,2020-03-21,Thurston County Emergency Management,Thurston,Lacey,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,TH­ 20203914656 TH­ 20203914656,WA­ 20203914656,
656,2020-03-09,2020-03-21,Thurston County Emergency Management,Thurston,Lacey,wipes,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,TH­ 20203914656 TH­ 20203914656,WA­ 20203914656,
657,2020-03-13,2020-03-21,Swedish Edmonds Medical,Snohomish,Edmonds,wipe disinfectant sani­cloth,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,ED004 SNOCO ­ 202031313176,WA­ 202031313176,
658,2020-03-11,2020-03-21,Snohomish County Sheriff,Snohomish,Everett,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,Snoco­ 20203119816,WA­ 20203119816,
659,2020-03-10,2020-03-21,Thurston County Emergency Management,Thurston,Olympia,"mask, procedure",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,TH­ 20203109497 TH­ 20203109497,WA­ 20203109497,
660,2020-03-13,2020-03-21,Swedish Edmonds Medical,Snohomish,Edmonds,purell hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,ED001 SNOCO ­ 202031313869,WA­ 202031313869,
661,2020-03-13,2020-03-21,Swedish Edmonds Medical,Snohomish,Edmonds,"gloves, nitrile exam",Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,ED016/SnoCo­ 202031313334 WA­ 202031313334,WA­ 202031313334,
662,2020-03-13,2020-03-21,Swedish Mill Creek Medical,Snohomish,Mill Creek,face shield guardall full reference 41204,Face Shield,Incident Stabilization,County,Assigned,Assigned,Logistics Section,SNOCO ­ 202031312250 WA­ 202031312250,WA­ 202031312250,
663,2020-03-24,2020-03-24,King County Fire District #2 (Burien FD),King,Algona,impervious gowns,Gowns,,County,Unassigned,,,7,WA­ 20203241076,
664,2020-03-09,2020-03-24,Sauk­Suiattle Indian Tribe,Snohomish,Darrington,* consolidated list for sauk­ suiattle indian tribe,,Incident Stabilization,State,Accepted,Assigned,ESF 7­Resource Management,1903061,WA­ 20203914122,
665,2020-03-20,2020-03-24,Okanogan EM,Okanogan,Okanogan,"staffing, operations section chief @ okanogan eoc",Staffing,Incident Stabilization,State,Assigned,Assigned,ESF 4­Firefighting,WA­ 202032015388 OKEM20200320­ 0022,WA­ 202032015388,
666,2020-03-17,2020-03-24,Sequim ECC,Clallam,Sequim,"staffing, sequim, public information officer",Staffing,Incident Stabilization,State,Completed,Completed,ESF 15­External Affairs Logistics Deploy and Planning Branch ESF 4­Firefighting,WA­ 202031716806 20­0265 Sequim 001,WA­ 202031716806,
667,2020-03-15,2020-03-24,King County Emergency Management,King,Renton,"staffing, renton, 2 teams of the washington conservation corps",Staffing,Incident Stabilization,State,Assigned,Accepted,Operations Section,KC­ 202031512305,WA­ 202031512305,
668,2020-02-21,2020-03-24,DOH IMT,Lewis,Centralia,"staffing, centralia, medical personnel",Staffing,Incident Stabilization,State,Assigned,Accepted,Logistics Deploy and Planning Branch,DOH 0221.12 DOH 0221.12,WA­ 202022116539,
669,2020-03-10,2020-03-24,City of Redmond,King,Redmond,local supply is exhusted,,Incident Stabilization,County,Unassigned,,,RED­2020­001 KC­ 202031011570,WA­ 202031011570,
670,2020-03-22,2020-03-24,Chehalis Tribe,Thurston,Rochester,* chehalis tribe ppe request,,Incident Stabilization,State,Accepted,Assigned,ESF 7­Resource Management,CTOC2020322­ 1 CTOC2020322­ 1,WA­ 202032215771,
671,2020-03-20,2020-03-24,Department of Corrections,Thurston,Tumwater,staffing licensed doctors and licensed nurses,Staffing,Incident Stabilization,State,Assigned,Completed Assigned,Logistics Section Logistics Deploy and Planning Branch,WA­ 202032016271 0134,WA­ 202032016271,
672,2020-03-10,2020-03-24,Mercer Island Pediatrics,King,Mercer Island,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,PH­ 202031010833 KC­ 202031010833,WA­ 202031010833,
673,2020-03-14,2020-03-24,WA EMD,Pierce,Tacoma,"staffing, seoc incident complexity analysis team (nimo)",Staffing,Incident Stabilization,State,Assigned,Accepted,ESF 4­Firefighting,WA­ 20203146730,WA­ 20203146730,2591­ 107072
674,2020-03-22,2020-03-24,Squaxin Island Tribe,Mason,Shelton,*squaxin island tribe request,,Incident Stabilization,State,Accepted,Assigned,ESF 7­Resource Management,SI­2020­003­ 0322­1,WA­ 202032216621,
675,2020-03-23,2020-03-24,Skokomish Tribe,Mason,Skokomish,*consolidated skokomish list,,Incident Stabilization,State,Accepted,Assigned,ESF 7­Resource Management,WA­ 20203231372 WA­ 20203231372,WA­ 20203231372,
676,2020-03-20,2020-03-24,Whidbey Health Medical,Island,Coupeville,"staffing, registered nurses",Staffing,Incident Stabilization,State,Assigned,Assigned,Logistics Deploy and Planning Branch,IC­20­030041,WA­ 20203208555,
677,2020-03-11,2020-03-24,KCOEM,King,Algona,"staffing, shelter, king co",Staffing,Incident Stabilization,State,Assigned,Assigned,Logistics Deploy and Planning Branch Logistics Deploy and Planning Branch,WA­ 20203118517 KC­ 20203118517,WA­ 20203118517,
678,2020-03-11,2020-03-11,PHSKC,King,Seattle,rr 246s on­call i&q transporter,,Incident Stabilization,City,Unassigned,,,PH­ 202031116473,WA­ 202031116473,
679,2020-03-11,2020-03-11,PHSKC,King,Seattle,rr 245s picc group supervisor,,Incident Stabilization,City,Completed,,,PH­ 202031116959,WA­ 202031116959,
680,2020-02-26,2020-03-11,PHSKC,King,Seattle,rr 032 ­ 3 or 4 desk cubes set up,,Incident Stabilization,City,Completed,Accepted Completed,Logistics Section,PH­ 202022617265,WA­ 202022617265,
681,2020-03-11,2020-03-11,Somerset,Cowlitz,Longview,medical protective equipment,Protective Equipment,Life Saving,County,Unassigned,,,DEM­002,WA­ 20203117705,
681,2020-03-11,2020-03-11,Somerset,Cowlitz,Longview,supplies,,Life Saving,County,Unassigned,,,DEM­002,WA­ 20203117705,
682,2020-03-11,2020-03-11,Somerset,Cowlitz,Longview,medical equipment,,Life Saving,County,Unassigned,,,DEM­009,WA­ 202031110527,
683,2020-02-03,2020-03-11,WA State Deptt of Health,Thurston,Olympia,security,,Incident Stabilization,State,Cancelled,,,NCoV0180,WA­ 2020237825,
684,2020-03-11,2020-03-11,New Westside Terrace,Cowlitz,Longview,medical protective equipment,Protective Equipment,Life Saving,County,Unassigned,,,DEM­004,WA­ 20203117450,
684,2020-03-11,2020-03-11,New Westside Terrace,Cowlitz,Longview,supplies,,Life Saving,County,Unassigned,,,DEM­004,WA­ 20203117450,
685,2020-03-11,2020-03-11,The Heavens,Cowlitz,Longview,medical protective equipment,Protective Equipment,Life Saving,County,Unassigned,,,DEM­011,WA­ 202031110368,
685,2020-03-11,2020-03-11,The Heavens,Cowlitz,Longview,supplies,,Life Saving,County,Unassigned,,,DEM­011,WA­ 202031110368,
686,2020-03-10,2020-03-11,Kng County EOC,King,Renton,shelter side tables for shelter site,,,County,Accepted,Assigned,Finance and Administration Section,KC­ 202031011378,WA­ 202031011378,
687,2020-03-06,2020-03-11,South County Fire,Snohomish,Everett,n95 masks,Masks,,County,Cancelled,,,SnoCo­ 20203616887,WA­ 20203616887,
688,2020-03-06,2020-03-11,South County Fire,Snohomish,Hatton,n95 masks,Masks,,County,Cancelled,,,SnoCo­ 20203616887,WA­ 20203616887,
689,2020-03-09,2020-03-11,Valley Regional Fire Authority,King,Auburn,gowns,Gowns,Incident Stabilization,County,Cancelled,,,VRFA001 KC­ 20203915613,WA­ 20203915613,
690,2020-03-10,2020-03-11,King County EOC,King,Renton,shelter personal equipment lockers,,,County,Completed,,,KC­ 202031012633,WA­ 202031012633,
691,2020-02-07,2020-02-21,PHSKC,King,Seattle,rr 103 ­ after hours lights and hvac,,Incident Stabilization,City,Completed,Completed,Logistics Section,PH­ 20202711786,WA­ 20202711786,
692,2020-02-11,2020-02-20,PHSKC,King,Seattle,10 generic profiles for non­ kc responders in hmac,,,County,Cancelled,,,PH­ 202021116652,WA­ 202021116652,
693,2020-02-05,2020-02-19,PHSKC,King,Algona,infectious disease isolation rooms (4),,,County,Cancelled,,,PH­ 2020251327 KC­ 2020251327,WA­ 2020251327,
694,2020-02-07,2020-02-13,PHSKC,King,Hatton,rr 111­speakers bureau coordinator,,Incident Stabilization,City,Completed,Completed,Operations Section,PH­ 20202711574,WA­ 20202711574,
695,2020-02-08,2020-02-12,PHSKC,King,Seattle,rr 026­ call center staff,,Incident Stabilization,County,Cancelled,Cancelled,Logistics Deploy and Planning Branch,PH­ 20202818462 tbd,WA­ 20202818462,
696,2020-03-19,2020-03-21,Sacred Heart Medical,Spokane,Spokane,hand soap,Soap,,County,Assigned,Assigned,Logistics Section,WA­ 202031914952 SHMC­All­ 0003,WA­ 202031914952,
697,2020-03-19,2020-03-21,Spokane County EMS,Spokane,Spokane,nitrile examination gloves,Gloves,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031914399 SC EMS 005,WA­ 202031914399,
698,2020-03-04,2020-03-21,Sacred Heart,Spokane,Spokane,disinfectant wipe,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,SH­004,WA­ 2020349441,
699,2020-03-19,2020-03-21,Spokane County EMS,Spokane,Spokane,p100 filters for masks,Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031915766 SC EMS 006,WA­ 202031915766,
700,2020-03-19,2020-03-21,Sacred Heart Medical,Spokane,Spokane,"mask, procedure,",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031915474 SHMC­All­ 0008,WA­ 202031915474,
700,2020-03-19,2020-03-21,Sacred Heart Medical,Spokane,Spokane,surgical masks,Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031915474 SHMC­All­ 0008,WA­ 202031915474,
701,2020-03-19,2020-03-21,Sacred Heart Medical,Spokane,Spokane,"mask, procedure,",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031915409 SHMC­All­ 0007,WA­ 202031915409,
701,2020-03-19,2020-03-21,Sacred Heart Medical,Spokane,Spokane,isolation masks,Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031915409 SHMC­All­ 0007,WA­ 202031915409,
702,2020-03-19,2020-03-21,Sacred Heart Medical,Spokane,Spokane,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,SHMC­All­ 0001,WA­ 202031914378,
703,2020-03-21,2020-03-21,NEMCo LFP Police,King,Lake Forest Park,aprons and n95 masks,Masks,,County,Unassigned,,,LFP02,WA­ 202032118844,
704,2020-03-19,2020-03-21,Sacred Heart Medical,Spokane,Spokane,"mask, procedure,",Masks,Incident Stabilization,County,Assigned,Unassigned,Logistics Section,WA­ 202031915128 SHMC­All­ 0009,WA­ 202031915128,
704,2020-03-19,2020-03-21,Sacred Heart Medical,Spokane,Spokane,surgical masks,Masks,Incident Stabilization,County,Assigned,Unassigned,Logistics Section,WA­ 202031915128 SHMC­All­ 0009,WA­ 202031915128,
705,2020-03-19,2020-03-21,Sacred Heart Medical,Spokane,Spokane,hand sanitizer,Disinfectant/Sanitizer,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031914684 SHMC­All­ 0002,WA­ 202031914684,
706,2020-03-19,2020-03-21,Sacred Heart Medical,Spokane,Spokane,"mask, anti fog,",Masks,Incident Stabilization,County,Assigned,Assigned,Logistics Section,WA­ 202031915538 SHMC­All­ 0010,WA­ 202031915538,
